time,gx,fgx
378,0.000529,0.00014
379,0.000529,-0.0000
380,-0.000004,-0.0001
381,0.000262,-0.0002
382,0.000262,-0.0002
383,-0.000670,-0.0002
384,-0.000670,-0.0003
385,-0.001069,-0.0003
386,-0.001069,-0.0003
387,-0.000270,-0.0002
388,-0.000270,-0.0000
389,0.000129,0.00009
390,0.000129,0.00029
391,0.000262,0.00041
392,0.000262,0.00039
393,0.000395,0.00021
394,-0.000537,-0.0000
395,-0.000537,-0.0004
396,-0.000137,-0.0007
397,-0.000137,-0.0008
398,-0.000936,-0.0008
399,-0.000936,-0.0006
400,-0.000270,-0.0002
401,-0.000270,0.00004
402,0.000395,0.00030
403,0.000395,0.00042
404,0.000529,0.00039
405,0.000529,0.00024
406,0.000129,-0.0000
407,-0.000403,-0.0002
408,-0.000403,-0.0005
409,-0.000537,-0.0006
410,-0.000537,-0.0007
411,-0.001202,-0.0006
412,-0.001202,-0.0003
413,0.000395,-0.0000
414,0.000395,0.00028
415,0.000395,0.00052
416,0.000395,0.00061
417,0.000129,0.00051
418,0.000129,0.00024
419,-0.000403,-0.0001
420,0.000395,-0.0004
421,0.000395,-0.0007
422,-0.000403,-0.0008
423,-0.000403,-0.0007
424,0.000129,-0.0005
425,0.000129,-0.0002
426,-0.000403,0.00009
427,-0.000403,0.00032
428,-0.000403,0.00042
429,-0.000403,0.00041
430,0.000129,0.00032
431,0.000129,0.00019
432,0.000262,0.00008
433,0.000262,-0.0000
434,0.000262,-0.0000
435,-0.000137,-0.0001
436,-0.000137,-0.0001
437,-0.000803,-0.0002
438,-0.000803,-0.0003
439,-0.000936,-0.0003
440,-0.000936,-0.0002
441,-0.000403,-0.0001
442,-0.000403,0.00004
443,0.000262,0.00023
444,0.000262,0.00036
445,-0.000004,0.00037
446,0.000395,0.00024
447,0.000395,-0.0000
448,0.000129,-0.0003
449,0.000129,-0.0006
450,0.000395,-0.0008
451,0.000395,-0.0009
452,-0.000004,-0.0008
453,-0.000004,-0.0006
454,0.000262,-0.0003
455,0.000262,-0.0000
456,0.000529,0.00020
457,0.000529,0.00035
458,-0.000936,0.00039
459,-0.000403,0.00037
460,-0.000403,0.00030
461,-0.000670,0.00023
462,-0.000670,0.00019
463,0.000129,0.00019
464,0.000129,0.00024
465,0.000129,0.00029
466,0.000129,0.00031
467,-0.000670,0.00027
468,-0.000670,0.00014
469,-0.000270,-0.0000
470,-0.000270,-0.0002
471,-0.000803,-0.0004
472,-0.000004,-0.0004
473,-0.000004,-0.0004
474,-0.000137,-0.0003
475,-0.000137,-0.0001
476,-0.000403,-0.0000
477,-0.000403,0.00000
478,-0.000803,-0.0000
479,-0.000803,-0.0001
480,-0.000270,-0.0003
481,-0.000270,-0.0003
482,0.000662,-0.0003
483,0.000662,-0.0002
484,0.000795,-0.0001
485,0.000262,-0.0000
486,0.000262,-0.0001
487,-0.000270,-0.0002
488,-0.000270,-0.0004
489,-0.000004,-0.0005
490,-0.000004,-0.0006
491,-0.000137,-0.0005
492,-0.000137,-0.0002
493,-0.000803,0.00003
494,-0.000803,0.00033
495,-0.000403,0.00053
496,-0.000403,0.00060
497,-0.000936,0.00053
498,0.000129,0.00038
499,0.000129,0.00019
500,-0.000004,0.00002
501,-0.000004,-0.0001
502,0.000529,-0.0002
503,0.000529,-0.0003
504,0.000395,-0.0004
505,0.000395,-0.0005
506,-0.000270,-0.0006
507,-0.000270,-0.0006
508,0.000129,-0.0005
509,0.000129,-0.0004
510,0.000529,-0.0002
511,0.000662,0.00000
512,0.000662,0.00022
513,0.000662,0.00038
514,0.000662,0.00043
515,0.001194,0.00039
516,0.001194,0.00027
517,0.000529,0.00011
518,0.000529,-0.0000
519,-0.000137,-0.0001
520,-0.000137,-0.0001
521,0.000129,0.00000
522,0.000129,0.00020
523,-0.000803,0.00044
524,0.000395,0.00068
525,0.000395,0.00087
526,-0.000004,0.00097
527,-0.000004,0.00096
528,0.000262,0.00083
529,0.000262,0.00061
530,0.000129,0.00035
531,0.000129,0.00009
532,0.000395,-0.0001
533,0.000395,-0.0002
534,-0.000004,-0.0002
535,-0.000004,-0.0002
536,-0.000803,-0.0001
537,-0.000270,-0.0000
538,-0.000270,0.00009
539,-0.000137,0.00017
540,-0.000137,0.00023
541,-0.000670,0.00028
542,-0.000670,0.00031
543,-0.001202,0.00029
544,-0.001202,0.00024
545,-0.000270,0.00015
546,-0.000270,0.00005
547,-0.001469,-0.0000
548,-0.001469,-0.0001
549,0.000395,-0.0002
550,-0.000004,-0.0002
551,-0.000004,-0.0002
552,-0.000803,-0.0003
553,-0.000803,-0.0004
554,0.000129,-0.0006
555,0.000129,-0.0007
556,-0.000403,-0.0008
557,-0.000403,-0.0008
558,0.000129,-0.0007
559,0.000129,-0.0006
560,-0.000403,-0.0005
561,-0.000403,-0.0003
562,-0.000803,-0.0002
563,0.000129,-0.0001
564,0.000129,-0.0001
565,0.000262,-0.0001
566,0.000262,-0.0001
567,-0.000004,-0.0001
568,-0.000004,-0.0000
569,0.000662,-0.0001
570,0.000662,-0.0001
571,-0.000004,-0.0002
572,-0.000004,-0.0002
573,0.000129,-0.0002
574,0.000129,-0.0002
575,-0.000537,-0.0001
576,0.000395,-0.0000
577,0.000395,0.00009
578,0.000129,0.00023
579,0.000129,0.00033
580,0.000262,0.00037
581,0.000262,0.00036
582,0.000262,0.00029
583,0.000262,0.00018
584,-0.000004,0.00008
585,-0.000004,-0.0000
586,0.000395,-0.0000
587,0.000395,-0.0000
588,-0.000270,0.00001
589,0.000662,0.00009
590,0.000662,0.00017
591,0.000262,0.00022
592,0.000262,0.00023
593,0.000662,0.00021
594,0.000662,0.00016
595,0.000928,0.00012
596,0.000928,0.00008
597,-0.000803,0.00006
598,-0.000803,0.00006
599,-0.000004,0.00009
600,-0.000004,0.00016
601,0.000395,0.00027
602,-0.000537,0.00040
603,-0.000537,0.00053
604,-0.000403,0.00062
605,-0.000403,0.00065
606,-0.000803,0.00058
607,-0.000803,0.00044
608,-0.001069,0.00024
609,-0.001069,0.00005
610,-0.001069,-0.0001
611,-0.001069,-0.0001
612,0.000395,-0.0001
613,-0.000537,-0.0001
614,-0.000537,-0.0001
615,-0.000403,-0.0002
616,-0.000403,-0.0003
617,-0.000137,-0.0005
618,-0.000137,-0.0007
619,-0.000137,-0.0008
620,-0.000137,-0.0009
621,0.000129,-0.0009
622,0.000129,-0.0008
623,0.000262,-0.0006
624,0.000262,-0.0004
625,0.000129,-0.0003
626,0.000262,-0.0002
627,0.000262,-0.0002
628,0.000262,-0.0001
629,0.000262,-0.0001
630,-0.000137,-0.0001
631,-0.000137,-0.0000
632,-0.000137,-0.0000
633,-0.000137,0.00007
634,-0.000137,0.00015
635,-0.000137,0.00023
636,-0.000403,0.00028
637,-0.000403,0.00030
